unitid,name,2013_program_name,match_2013__best_title,match_2013__best_source,match_2013__best_kind,match_2013__match_level,match_2013__match_score,program_buckets_hit,match_2013__detail,discovered__program_titles__crawl,discovered__program_titles__cv,discovered__signal_titles,discovered__all_titles,discovered__new_titles_unmatched,discovered__new_program_titles_when_best_signal,total_controls_found,controls_sufficiency,college_vine_ctrl_status,best_guess_inventory_url,best_guess_inventory_reason,college_vine_site,college_vine_url,Web_address,city,state,control
110547,California State University-Dominguez Hills,Africana Studies Department,Africana Studies,crawl,program,related_domain_backstop,1.0,africana,"related_domain_backstop: ref=""Africana Studies Department"" ~ cand=""Africana Studies"" score=1.00 fam_ref=['africana'] fam_cand=['africana']",2025-26 Ethnic Studies Curriculum Review Calendar 2025-26 University Ethnic Studies Committee Meeting Calendar Africana Studies Bwesigye Bwa-Mwesigire - Africana Studies Certificate in Six Sigma Black Belt (Old Version) Lean Six Sigma Black Belt (live online) Lean Six Sigma Black Belt Certificate Meryah Fisher - Africana Studies Note: This program has been updated! Please visit the new Lean Six Sigma Black Belt Certificate site. Six Sigma Black Belt Certificate (asynchronous online) University Ethnic Studies Committee (UESC) Welcome to Africana Studies|2025-26 Ethnic Studies Curriculum Review Calendar|2025-26 University Ethnic Studies Committee Meeting Calendar|Africana Studies|Bwesigye Bwa-Mwesigire - Africana Studies|Certificate in Six Sigma Black Belt (Old Version)|Lean Six Sigma Black Belt (live online)|Lean Six Sigma Black Belt Certificate|Meryah Fisher - Africana Studies|Note: This program has been updated! Please visit the new Lean Six Sigma Black Belt Certificate site.|Six Sigma Black Belt Certificate (asynchronous online)|University Ethnic Studies Committee (UESC)|Welcome to Africana Studies,,University Ethnic Studies Committee|2025-26 Ethnic Studies Curriculum Review Calendar 2025-26 University Ethnic Studies Committee Meeting Calendar Africana Studies Bwesigye Bwa-Mwesigire - Africana Studies Certificate in Six Sigma Black Belt (Old Version) Lean Six Sigma Black Belt (live online) Lean Six Sigma Black Belt Certificate Meryah Fisher - Africana Studies Note: This program has been updated! Please visit the new Lean Six Sigma Black Belt Certificate site. Six Sigma Black Belt Certificate (asynchronous online) University Ethnic Studies Committee (UESC) Welcome to Africana Studies|2025-26 University Ethnic Studies Committee Meeting Calendar|University Ethnic Studies Committee (UESC),2025-26 Ethnic Studies Curriculum Review Calendar 2025-26 University Ethnic Studies Committee Meeting Calendar Africana Studies Bwesigye Bwa-Mwesigire - Africana Studies Certificate in Six Sigma Black Belt (Old Version) Lean Six Sigma Black Belt (live online) Lean Six Sigma Black Belt Certificate Meryah Fisher - Africana Studies Note: This program has been updated! Please visit the new Lean Six Sigma Black Belt Certificate site. Six Sigma Black Belt Certificate (asynchronous online) University Ethnic Studies Committee (UESC) Welcome to Africana Studies|2025-26 Ethnic Studies Curriculum Review Calendar|2025-26 University Ethnic Studies Committee Meeting Calendar|Africana Studies|Bwesigye Bwa-Mwesigire - Africana Studies|Certificate in Six Sigma Black Belt (Old Version)|Lean Six Sigma Black Belt (live online)|Lean Six Sigma Black Belt Certificate|Meryah Fisher - Africana Studies|Note: This program has been updated! Please visit the new Lean Six Sigma Black Belt Certificate site.|Six Sigma Black Belt Certificate (asynchronous online)|University Ethnic Studies Committee (UESC)|Welcome to Africana Studies|University Ethnic Studies Committee,2025-26 Ethnic Studies Curriculum Review Calendar 2025-26 University Ethnic Studies Committee Meeting Calendar Africana Studies Bwesigye Bwa-Mwesigire - Africana Studies Certificate in Six Sigma Black Belt (Old Version) Lean Six Sigma Black Belt (live online) Lean Six Sigma Black Belt Certificate Meryah Fisher - Africana Studies Note: This program has been updated! Please visit the new Lean Six Sigma Black Belt Certificate site. Six Sigma Black Belt Certificate (asynchronous online) University Ethnic Studies Committee (UESC) Welcome to Africana Studies|2025-26 Ethnic Studies Curriculum Review Calendar|2025-26 University Ethnic Studies Committee Meeting Calendar|Bwesigye Bwa-Mwesigire - Africana Studies|Certificate in Six Sigma Black Belt (Old Version)|Lean Six Sigma Black Belt (live online)|Lean Six Sigma Black Belt Certificate|Meryah Fisher - Africana Studies|Note: This program has been updated! Please visit the new Lean Six Sigma Black Belt Certificate site.|Six Sigma Black Belt Certificate (asynchronous online)|University Ethnic Studies Committee (UESC)|Welcome to Africana Studies|University Ethnic Studies Committee,,5,warning_10_MajorsFound,cv_unresolved,https://www.csudh.edu/academic-programs/,score=424;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=1;canonicalHub=1;flags=,0,https://www.collegevine.com/schools/hub/all/d/california-state-university-dominguez-hills/majors,www.csudh.edu/,Carson,California,Public
366711,California State University-San Marcos,Ethnic Studies Program,,,,NO_MATCH,0.0,,,,,,,,,7,warning_10_MajorsFound,cv_unresolved,https://www.csusm.edu/academic_programs/catalogcurricula/curriculum_forms.html,score=200;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=7;ctrlStructured=0;canonicalHub=0;flags=,0,https://www.collegevine.com/schools/hub/all/d/california-state-university-san-marcos/majors,www.csusm.edu/,San Marcos,California,Public
156408,Centre College,African and African American Studies Program,,,,NO_MATCH,0.0,,,,,,,,,0,,,,,,,www.centre.edu/,Danville,Kentucky,Private not-for-profit
161086,Colby College,African American Studies Program,,,,NO_MATCH,0.0,,,,,,,,,0,,,,,,,www.colby.edu/,Waterville,Maine,Private not-for-profit
190150,Columbia University in the City of New York,African American Studies Department,,,,NO_MATCH,0.0,,,,,,,,,1,warning_10_MajorsFound,cv_unresolved,https://bulletin.columbia.edu/,score=-136;tier=homepage;hubSig=0;listingLinks=0;slugDiv=0;structHits=0;ctrlStructured=1;canonicalHub=0;flags=thin,0,https://www.collegevine.com/schools/hub/all/d/columbia-university-in-the-city-of-new-york/majors,www.columbia.edu/,New York,New York,Private not-for-profit
190655,CUNY New York City College of Technology,African American Studies Department,Black Visual Cultures - Minor,crawl,program,winner_override,0.34586206896551724,black,"winner_override: patch1:best_available | ref=""African American Studies Department"" ~ cand=""Black Visual Cultures - Minor"" score=0.35",Black Visual Cultures - Minor|Minor in Black Visual Cultures,,,Black Visual Cultures - Minor|Minor in Black Visual Cultures,Black Visual Cultures - Minor|Minor in Black Visual Cultures,,8,warning_10_MajorsFound,cv_unresolved,https://www.citytech.cuny.edu/academics/areas-of-study.aspx,score=312;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=8;canonicalHub=0;flags=,0,https://www.collegevine.com/schools/hub/all/d/cuny-new-york-city-college-of-technology/majors,www.citytech.cuny.edu/,Brooklyn,New York,Public
155025,Emporia State University,Ethnic/Gender Studies Program,,,,NO_MATCH,0.0,,,,,,,,,3,warning_10_MajorsFound,cv_unresolved,https://www.emporia.edu/programs/,score=473;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=2;canonicalHub=1;flags=,0,https://www.collegevine.com/schools/hub/all/d/emporia-state-university/majors,www.emporia.edu/,Emporia,Kansas,Public
151360,Indiana University-Northwest,Minority Studies Department,,,,NO_MATCH,0.0,,,,,,,,,7,warning_10_MajorsFound,cv_unresolved,https://northwest.iu.edu/hist-phil-rel-pols/programs/political-science.html,score=232;tier=inventory;hubSig=2;listingLinks=14;slugDiv=4;structHits=5;ctrlStructured=3;canonicalHub=0;flags=tooSpecific,0,https://www.collegevine.com/schools/hub/all/d/indiana-university-northwest/majors,northwest.iu.edu/,Gary,Indiana,Public
162928,Johns Hopkins University,Africana Studies Center,,,,NO_MATCH,0.0,,,,,,,,,0,,,,,,,www.jhu.edu/,Baltimore,Maryland,Private not-for-profit
220604,Le Moyne-Owen College,African and African American Studies Center,,,,NO_MATCH,0.0,,,,,,,,,3,warning_10_MajorsFound,cv_unresolved,https://www.loc.edu/,score=82;tier=homepage;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=3;canonicalHub=0;flags=,0,https://www.collegevine.com/schools/hub/all/d/le-moyne-owen-college/majors,www.loc.edu/,Memphis,Tennessee,Private not-for-profit
