unitid,source,bucket,canonical_title,supporting_raw_titles,program_conf_max,program_conf_reasons
131520,crawl,african,African Studies,"African Studies|African Studies (B.A.)|African Studies (MA, PhD)|African Studies (Ph.D.)",90,bare_studies_name|anchor_phrase|bucket_match:african|degree_token|anchor_phrase|bucket_match:african
131520,crawl,black,Afro-American Studies,Afro-American Studies,70,bare_studies_name|bucket_match:black
131520,cv,african,African Studies,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
131520,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
134097,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
134130,crawl,black,African American Studies,African American Studies Program,70,strong_token|bucket_match:black
134130,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
135726,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
136950,crawl,black,African and African American Studies,African and African American Studies|African and African American Studies Minor|African and African American Studies Program,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:black|strong_token|anchor_phrase|compound_anchor|bucket_match:black
136950,crawl,black,Dive into African and African-American Studies,Dive into African and African-American Studies,70,bare_studies_name|bucket_match:black
136950,crawl,mena,Middle Eastern and North African Studies,Middle Eastern and North African Studies|Middle Eastern and North African Studies Minor,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:mena|strong_token|anchor_phrase|compound_anchor|bucket_match:mena
137351,crawl,africana,Africana Studies,Africana Studies Minor,90,strong_token|anchor_phrase|bucket_match:africana
137351,crawl,africana,Africana Studies B.A.,Africana Studies B.A.,70,degree_token|anchor_phrase|bucket_match:africana
137351,crawl,africana,"Interdisciplinary Social Sciences B.A., with Africana Studies Concentration","Interdisciplinary Social Sciences B.A., with Africana Studies Concentration",100,strong_token|degree_token|anchor_phrase|bucket_match:africana
138600,cv,african,African Studies,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
138947,crawl,africana,Africana Women's Studies,Africana Women's Studies,70,bare_studies_name|bucket_match:africana
138947,crawl,black,African American Studies,African American Studies,70,bare_studies_name|bucket_match:black
139658,crawl,african,African Studies,African Studies,90,bare_studies_name|anchor_phrase|bucket_match:african
139658,crawl,black,African American Studies,African American Studies,70,bare_studies_name|bucket_match:black
139658,cv,african,African Studies,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
139658,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
139940,crawl,africana,"Africana Studies, B.A.","Africana Studies, B.A.",70,degree_token|anchor_phrase|bucket_match:africana
139940,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
139940,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
139959,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
140447,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
140553,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
141060,crawl,african,African Diaspora Studies,African Diaspora Studies|African Diaspora Studies Minor,70,bare_studies_name|bucket_match:african|strong_token|bucket_match:african
141264,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
141264,crawl,africana,Africana Studies Certificate,Africana Studies Certificate,90,strong_token|anchor_phrase|bucket_match:africana
141264,crawl,africana,Minor in Africana Studies,Minor in Africana Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:africana
141574,crawl,ethnic,Esteem for Ethnic Studies,Esteem for Ethnic Studies,90,bare_studies_name|anchor_phrase|bucket_match:ethnic
141574,crawl,ethnic,"Ethnic Studies, BA/Educational Administration, MEd","Ethnic Studies, BA/Educational Administration, MEd (Non-Thesis)|Ethnic Studies, BA/Educational Administration, MEd (Thesis)",70,degree_token|anchor_phrase|bucket_match:ethnic
141574,crawl,ethnic,"Ethnic Studies, BA/Educational Foundations, MEd","Ethnic Studies, BA/Educational Foundations, MEd (Non-Thesis)|Ethnic Studies, BA/Educational Foundations, MEd (Thesis)",70,degree_token|anchor_phrase|bucket_match:ethnic
141574,crawl,ethnic,"Ethnic Studies, Certificate","Ethnic Studies, Certificate",90,strong_token|anchor_phrase|bucket_match:ethnic
141574,crawl,ethnic,Give a Gift to Ethnic Studies,Give a Gift to Ethnic Studies,90,bare_studies_name|anchor_phrase|bucket_match:ethnic
142115,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
143084,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
143084,cv,african,African Studies,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
143358,crawl,black,African American Studies,African American Studies,70,bare_studies_name|bucket_match:black
144050,crawl,black,African American Studies,African American Studies,70,bare_studies_name|bucket_match:black
144050,cv,african,African Studies,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
144050,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
144740,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
144892,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
144962,crawl,race,Race and Ethnic Studies,Race and Ethnic Studies,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:race
145600,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
145600,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
145637,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
145637,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
146427,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
146481,crawl,black,African American Studies,African American Studies,70,bare_studies_name|bucket_match:black
146481,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
146612,crawl,black,African American Studies,African American Studies|African American Studies (Minor),70,bare_studies_name|bucket_match:black|strong_token|bucket_match:black
146612,crawl,ethnic,Ethnic and Cultural Studies,Ethnic and Cultural Studies|Ethnic and Cultural Studies (Minor),70,bare_studies_name|bucket_match:ethnic|strong_token|bucket_match:ethnic
146719,crawl,african,African Studies,African Studies and the African Diaspora|African Studies and the African Diaspora (BA),100,anchor_phrase|compound_anchor|bucket_match:african|degree_token|anchor_phrase|compound_anchor|bucket_match:african
146719,crawl,ethnic,Race and Ethnicity Interdisciplinary,Race and Ethnicity Interdisciplinary Minor,70,strong_token|bucket_match:ethnic
146719,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
147013,crawl,ethnic,Ethnic Studies,Ethnic Studies|Ethnic Studies Program,90,bare_studies_name|anchor_phrase|bucket_match:ethnic|strong_token|anchor_phrase|bucket_match:ethnic
147767,cv,african,African Studies,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
147767,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
