row_index,unitid,key,sources_in_key,has_crawl_in_key,has_cv_in_key,has_both_in_key,key_type,bucket
204,243744,african,crawl,1,0,0,bucket,
204,243744,black,crawl|cv,1,1,1,bucket,
204,243744,minority,cv,0,1,0,bucket,
206,196194,black,crawl,1,0,0,bucket,
208,186876,africana,crawl,1,0,0,bucket,
208,186876,black,crawl,1,0,0,bucket,
209,196097,africana,crawl,1,0,0,bucket,
210,196158,black,crawl,1,0,0,bucket,
210,196158,ethnic,crawl,1,0,0,bucket,
211,196121,black,crawl,1,0,0,bucket,
212,196130,africana,crawl,1,0,0,bucket,
212,196130,black,cv,0,1,0,bucket,
215,196149,black,crawl,1,0,0,bucket,
217,216287,african,cv,0,1,0,bucket,
217,216287,africana,crawl,1,0,0,bucket,
217,216287,black,crawl|cv,1,1,1,bucket,
217,216287,minority,cv,0,1,0,bucket,
218,196413,black,crawl|cv,1,1,1,bucket,
219,216339,black,crawl|cv,1,1,1,bucket,
221,228723,africana,crawl,1,0,0,bucket,
222,228981,ethnic,crawl,1,0,0,bucket,
224,187134,african,crawl,1,0,0,bucket,
224,187134,black,crawl|cv,1,1,1,bucket,
225,206589,africana,crawl,1,0,0,bucket,
225,206589,black,cv,0,1,0,bucket,
226,100751,black,cv,0,1,0,bucket,
227,180489,black,cv,0,1,0,bucket,
230,228778,african,crawl,1,0,0,bucket,
230,228778,ethnic,crawl,1,0,0,bucket,
232,221519,black,crawl,1,0,0,bucket,
233,168148,black,cv,0,1,0,bucket,
234,160755,africana,crawl,1,0,0,bucket,
235,196866,africana,crawl,1,0,0,bucket,
236,196060,africana,crawl,1,0,0,bucket,
237,196088,black,crawl,1,0,0,bucket,
239,104179,africana,crawl,1,0,0,bucket,
239,104179,black,cv,0,1,0,bucket,
239,104179,mena,crawl,1,0,0,bucket,
240,106397,black,crawl,1,0,0,bucket,
241,110635,black,cv,0,1,0,bucket,
241,110635,ethnic,cv,0,1,0,bucket,
242,110644,black,crawl|cv,1,1,1,bucket,
242,110644,ethnic,crawl,1,0,0,bucket,
242,110644,minority,cv,0,1,0,bucket,
243,110653,black,cv,0,1,0,bucket,
243,110653,minority,cv,0,1,0,bucket,
244,110662,black,cv,0,1,0,bucket,
244,110662,minority,cv,0,1,0,bucket,
245,110671,black,crawl|cv,1,1,1,bucket,
245,110671,ethnic,crawl,1,0,0,bucket,
245,110671,minority,cv,0,1,0,bucket,
246,110680,minority,cv,0,1,0,bucket,
247,110705,black,crawl|cv,1,1,1,bucket,
250,144050,african,cv,0,1,0,bucket,
250,144050,black,crawl,1,0,0,bucket,
250,144050,minority,cv,0,1,0,bucket,
251,201885,black,cv,0,1,0,bucket,
252,126614,ethnic,cv,0,1,0,bucket,
253,126562,ethnic,crawl,1,0,0,bucket,
254,129020,african,crawl,1,0,0,bucket,
254,129020,africana,crawl,1,0,0,bucket,
254,129020,black,cv,0,1,0,bucket,
254,129020,ethnic,crawl,1,0,0,bucket,
255,202480,race,crawl,1,0,0,bucket,
256,130943,africana,crawl,1,0,0,bucket,
256,130943,black,cv,0,1,0,bucket,
258,134130,black,crawl|cv,1,1,1,bucket,
259,139959,black,cv,0,1,0,bucket,
260,141574,ethnic,crawl,1,0,0,bucket,
261,225511,black,crawl,1,0,0,bucket,
261,225511,minority,cv,0,1,0,bucket,
262,145600,black,cv,0,1,0,bucket,
262,145600,minority,cv,0,1,0,bucket,
264,145637,black,cv,0,1,0,bucket,
264,145637,minority,cv,0,1,0,bucket,
265,153658,black,crawl|cv,1,1,1,bucket,
266,155317,african,crawl|cv,1,1,1,bucket,
266,155317,black,crawl,1,0,0,bucket,
266,155317,ethnic,crawl,1,0,0,bucket,
267,157085,minority,cv,0,1,0,bucket,
268,157289,africana,crawl,1,0,0,bucket,
268,157289,black,cv,0,1,0,bucket,
269,163268,africana,crawl,1,0,0,bucket,
269,163268,black,cv,0,1,0,bucket,
270,163286,black,cv,0,1,0,bucket,
272,166638,africana,crawl,1,0,0,bucket,
273,167987,black,crawl,1,0,0,bucket,
