unitid,bucket,canonical_title,sources,program_conf_max,has_both_sources,program_conf_final
173920,ethnic,Ethnic Studies,crawl,90,False,90
174020,ethnic,Ethnic Studies,crawl,90,False,90
174020,ethnic,"Ethnic, Gender, Historical, and Philosophical Studies",crawl,70,False,70
174066,black,African-American/Black Studies,cv,100,False,100
174844,ethnic,Ethnic Studies,cv,100,False,100
174844,race,RACE Major and Concentration,crawl,70,False,70
174844,race,Race and Ethnic Studies,crawl,100,False,100
176017,black,African-American/Black Studies,cv,100,False,100
178396,black,Black Studies,crawl,90,False,90
178402,ethnic,"Race, Ethnic, and Gender Studies",crawl,70,False,70
179159,black,African American Studies,crawl,70,False,70
179159,black,African-American/Black Studies,cv,100,False,100
179867,black,African-American/Black Studies,cv,100,False,100
180489,black,African-American/Black Studies,cv,100,False,100
181002,african,African Studies,crawl,90,False,90
181002,african,African Studies (Minor),crawl,90,False,90
181002,black,African American and Black Diasporic Studies,crawl,70,False,70
181002,black,African American and Black Diasporic Studies (Minor),crawl,70,False,70
181215,ethnic,Ethnic Studies Minor Online On Campus,crawl,90,False,90
181394,black,African-American/Black Studies,cv,100,False,100
181394,black,Black Studies,crawl,90,False,90
181394,black,Black Studies Graduate,crawl,90,False,90
181394,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
181464,black,African and African-American Studies,crawl,70,False,70
181464,ethnic,Ethnic Studies,crawl,90,False,90
181464,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
182281,black,African American and African Diaspora Studies,crawl,70,False,70
182281,black,African-American/Black Studies,cv,100,False,100
182281,black,Concentration in African American and African Diaspora Studies,crawl,70,False,70
182281,black,Minor in African American and African Diaspora Studies,crawl,70,False,70
182281,ethnic,Ethnic Studies,crawl,100,False,100
182290,race,"Gender, Race and Identity",crawl,70,False,70
182670,black,African and African American Studies,crawl,100,False,100
182670,black,African-American/Black Studies,cv,100,False,100
184348,africana,Africana Studies,crawl,90,False,90
184348,black,African-American/Black Studies,cv,100,False,100
184782,african,African Studies,cv,100,False,100
185129,africana,"Gender, Africana, and Latin American Studies",crawl,70,False,70
185129,black,African and African American Studies,crawl,100,False,100
185129,black,African and African-American Studies,crawl,70,False,70
185129,ethnic,Ethnic and Immigration Studies,crawl,70,False,70
186131,african,African Studies,crawl,90,False,90
186131,african,Program in African Studies,crawl,100,False,100
186131,black,African American Studies,crawl,70,False,70
186131,black,African-American/Black Studies,cv,100,False,100
186201,africana,Africana Studies,crawl,90,False,90
186201,black,African-American/Black Studies,cv,100,False,100
186201,ethnic,Ethnicity and Race Studies,crawl,70,False,70
186371,black,African-American/Black Studies,cv,100,False,100
186380,africana,Africana Studies,crawl,90,False,90
186380,black,African-American/Black Studies,cv,100,False,100
186399,africana,Africana Studies,crawl,90,False,90
186399,black,African-American/Black Studies,cv,100,False,100
186584,africana,Africana Studies,crawl,90,False,90
186584,africana,Africana Studies Program Minor in Africana Studies,crawl,90,False,90
186584,africana,B.A in Africana Studies,crawl,100,False,100
186584,africana,BA Africana Studies,crawl,100,False,100
186584,africana,Minor in Africana Studies,crawl,100,False,100
186584,black,African-American/Black Studies,cv,100,False,100
186584,mena,Middle Eastern and North African Studies,crawl,100,False,100
186876,africana,Africana Studies,crawl,100,False,100
186876,africana,Minor in Africana Studies,crawl,100,False,100
186876,africana,"Rhea Boyd , Pediatrician - BA in Africana Studies, University of Notre Dame",crawl,100,False,100
186876,black,Africana Studies,crawl,100,False,100
186876,black,"Angela Bassett , Actress - BA in African American Studies, Yale University",crawl,100,False,100
186876,black,"Ava DuVernay , Director - BA in English literature and African-American studies, UCLA",crawl,100,False,100
186876,black,Black Studies,crawl,100,False,100
186876,black,"Gloria Naylor , Novelist - MA in African American Studies, Yale University",crawl,100,False,100
186876,black,"Issa Rae , Actress and Writer - BA in African and African-American Studies, Stanford University",crawl,100,False,100
186876,black,"Mae Jemison , Engineer, Astronaut - BA in African and Afro-American Studies, Stanford University",crawl,100,False,100
186876,black,"Michelle Obama , Former FLOTUS - BA in Sociology and minor in African-American studies, Princeton University",crawl,100,False,100
187134,african,African Studies,crawl,90,False,90
187134,black,African American Studies,crawl,70,False,70
187134,black,African American Studies Major/Specialization Minor Teacher Preparation,crawl,70,False,70
187134,black,African-American/Black Studies,cv,100,False,100
187134,black,Inclusive Education (BS) and African American Studies Dual,crawl,100,False,100
187985,africana,Africana Studies,crawl,90,False,90
